KABUPATEN KUTAI TIMUR,"6408","64",1
KABUPATEN PENAJAM PASER UTARA,"6409","64",1
KABUPATEN MAHAKAM ULU,"6411","64",1
KOTA BALIKPAPAN,"6471","64",1
KOTA SAMARINDA,"6472","64",1
KOTA BONTANG,"6474","64",1
KABUPATEN BULUNGAN,"6501","65",1
KABUPATEN MALINAU,"6502","65",1
KABUPATEN NUNUKAN,"6503","65",1
KABUPATEN TANA TIDUNG,"6504","65",1
KOTA TARAKAN,"6571","65",1
KABUPATEN BOLAANG MONGONDOW,"7101","71",1
KABUPATEN MINAHASA,"7102","71",1
KABUPATEN KEPULAUAN SANGIHE,"7103","71",1
KABUPATEN KEPULAUAN TALAUD,"7104","71",1
KABUPATEN MINAHASA SELATAN,"7105","71",1
KABUPATEN MINAHASA UTARA,"7106","71",1
KABUPATEN MINAHASA TENGGARA,"7107","71",1
KABUPATEN BOLAANG MONGONDOW UTARA,"7108","71",1
KABUPATEN KEP. SIAU TAGULANDANG BIARO,"7109","71",1
KABUPATEN BOLAANG MONGONDOW TIMUR,"7110","71",1
KABUPATEN BOLAANG MONGONDOW SELATAN,"7111","71",1
KOTA MANADO,"7171","71",1
KOTA BITUNG,"7172","71",1
KOTA TOMOHON,"7173","71",1
KOTA KOTAMOBAGU,"7174","71",1
KABUPATEN BANGGAI,"7201","72",1
KABUPATEN POSO,"7202","72",1
KABUPATEN DONGGALA,"7203","72",1
KABUPATEN TOLI TOLI,"7204","72",1
KABUPATEN BUOL,"7205","72",1
KABUPATEN MOROWALI,"7206","72",1
KABUPATEN BANGGAI KEPULAUAN,"7207","72",1
KABUPATEN PARIGI MOUTONG,"7208","72",1
KABUPATEN TOJO UNA UNA,"7209","72",1
KABUPATEN SIGI,"7210","72",1
KABUPATEN BANGGAI LAUT,"7211","72",1
KABUPATEN MOROWALI UTARA,"7212","72",1
KOTA PALU,"7271","72",1
KABUPATEN KEPULAUAN SELAYAR,"7301","73",1
KABUPATEN BULUKUMBA,"7302","73",1
KABUPATEN BANTAENG,"7303","73",1
KABUPATEN JENEPONTO,"7304","73",1
KABUPATEN TAKALAR,"7305","73",1
KABUPATEN GOWA,"7306","73",1
KABUPATEN SINJAI,"7307","73",1
KABUPATEN BONE,"7308","73",1
KABUPATEN MAROS,"7309","73",1
KABUPATEN PANGKAJENE KEPULAUAN,"7310","73",1
KABUPATEN BARRU,"7311","73",1
KABUPATEN SOPPENG,"7312","73",1
KABUPATEN WAJO,"7313","73",1
KABUPATEN SIDENRENG RAPPANG,"7314","73",1
KABUPATEN PINRANG,"7315","73",1
KABUPATEN ENREKANG,"7316","73",1
KABUPATEN LUWU,"7317","73",1
KABUPATEN TANA TORAJA,"7318","73",1
KABUPATEN LUWU UTARA,"7322","73",1
KABUPATEN LUWU TIMUR,"7324","73",1
KABUPATEN TORAJA UTARA,"7326","73",1
KOTA MAKASSAR,"7371","73",1
KOTA PARE PARE,"7372","73",1
